,"Track ID","Artists","Album Name","Album ID","Release Date","External URLs","Track Name","Popularity","Duration (ms)","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Genre"
1,"7FPbxfwWa2gzB9ePX19I5z","Arijit Singh, Neeti Mohan","Boss","0mHODvSNdVtPZOP5pcNWep",2013-09-10,"https://open.spotify.com/track/7FPbxfwWa2gzB9ePX19I5z","Har Kisi Ko",57,337046,"False",0.553,0.705,3,-6.898,1,0.0308,0.478,0,0.278,0.324,95.007,4,"filmi, modern bollywood"
2,"6pGhyosvAt0ke0XH3vfFAr","Jazzy B","Romeo","4LEp8doqrIUMpJtrpUYnsA",2004-01-01,"https://open.spotify.com/track/6pGhyosvAt0ke0XH3vfFAr","Dil Luteya",39,261760,"False",0.812,0.786,2,-5.939,1,0.205,0.254,0,0.25,0.885,89.984,4,"classic bhangra, punjabi pop, bhangra"
3,"6O1RAYwmOqkcoJQr7J9SFJ","Manan Bhardwaj, Arijit Singh","Yaariyan 2","7ae6aMd39gAqmMfaPi9GUY",2023-09-24,"https://open.spotify.com/track/6O1RAYwmOqkcoJQr7J9SFJ","Oonchi Oonchi Deewarein",58,251109,"False",0.263,0.616,5,-5.17,1,0.0398,0.533,0,0.086,0.298,78.353,4,"desi pop, filmi, modern bollywood"
4,"6ZBPTNro2APVK8mDBc9L30","Atif Aslam, Monali Thakur","Tu Mohabbat Hai (Valentine Special)","62L93nlfBqziSmdOQvPIth",2012-02-06,"https://open.spotify.com/track/6ZBPTNro2APVK8mDBc9L30","Tu Mohabbat Hai (From ""Tere Naal Love Ho Gaya"")",0,322757,"False",0.637,0.669,10,-6.333,1,0.0361,0.355,"6.22e-05",0.0963,0.523,118.967,4,"filmi, classic pakistani pop, sufi, modern bollywood"
5,"4KSHc0ATBNg29sFqUmcfNq","Jatin-Lalit, Babul Supriyo, Mahalakshmi Iyer, Master Akshay Bhagwat, Aamir Khan, Kajol, Prasoon Joshi","Fanaa","2L3NV5Fxjrj6mi59Gs5tUx",2006-04-12,"https://open.spotify.com/track/4KSHc0ATBNg29sFqUmcfNq","Chanda Chamke",46,228388,"False",0.894,0.687,5,-8.651,1,0.119,0.366,0,0.111,0.645,113.992,4,"filmi, classic bollywood, afghan pop, modern bollywood, chutney"
6,"4KCbZcshgibfJSCAkg87Lv","Vishal-Shekhar, Rahat Fateh Ali Khan, Irshad Kamil","Sultan","0tAi6H8acUKefYMIEuxcMA",2016-05-31,"https://open.spotify.com/track/4KCbZcshgibfJSCAkg87Lv","Jag Ghoomeya",61,281991,"False",0.484,0.565,11,-7.954,1,0.0347,0.479,"2.13e-06",0.105,0.607,82.653,4,"filmi, classic pakistani pop, sufi, modern bollywood, qawwali"
7,"1AbtTQRobhzp7QZc1aAY6o","Atif Aslam","Atif Hit Story","1YT6DyKcT27OAn7z7OBTYC",2013-03-05,"https://open.spotify.com/track/1AbtTQRobhzp7QZc1aAY6o","Tu Jaane Na (From ""Ajab Prem Ki Ghazab Kahani"")",0,341933,"False",0.702,0.86,7,-3.969,1,0.0346,0.36,"1.33e-06",0.133,0.83,120.045,4,"filmi, classic pakistani pop, sufi, modern bollywood"
8,"5AhxzlhZbKYfu4YNiUnmvx","Sona Mohapatra, Ravindra Upadhyay","Talaash","7ASasKA02nhm5nI7tlZNjQ",2012-10-18,"https://open.spotify.com/track/5AhxzlhZbKYfu4YNiUnmvx","Jiya Lage Na",48,276607,"False",0.48,0.601,11,-5.879,1,0.0348,0.16,0.000491,0.131,0.22,169.997,4,"filmi, modern bollywood"
9,"3zDclXNuaA2yd8SXBZ03VT","Mukesh","Mukesh Ki Barfi","30AnFi0y2n2KZIHMzYhSWX",2021-10-26,"https://open.spotify.com/track/3zDclXNuaA2yd8SXBZ03VT","Suhana Safar Aur Yeh Mausam",53,229506,"False",0.491,0.308,7,-13.842,0,0.15,0.639,0.0121,0.139,0.614,150.612,3,"filmi, classic bollywood"
10,"2Rr8j88wr7SAYSwuekTJgx","Armaan Malik, Shraddha Kapoor","2016 Shining Star - Armaan Malik","2Z5Dq0EmYGI7yUTIgRnuSY",2016-12-30,"https://open.spotify.com/track/2Rr8j88wr7SAYSwuekTJgx","Sab Tera (From ""Baaghi"")",51,228116,"False",0.502,0.641,7,-5.863,1,0.034,0.641,"1.02e-06",0.151,0.431,159.781,4,"filmi, modern bollywood"
11,"4ila6GeGBPGmJTGRoHOV5E","Shreya Ghoshal, Osman Mir","Ram-Leela (Original Motion Picture Soundtrack)","4He2rBGaA8eNUvB3B9QRYK",2013-10-01,"https://open.spotify.com/track/4ila6GeGBPGmJTGRoHOV5E","Nagada Sang Dhol",0,273319,"False",0.73,0.944,3,-3.48,0,0.164,0.266,0.00443,0.0354,0.657,113.309,3,"gujarati garba, filmi, gujarati pop, modern bollywood"
12,"5tllbwxYanPKmFs1g4EP9S","Lata Mangeshkar","Magical Lata","7pSZwSBabe6F94eJjUC2gE",2015-09-21,"https://open.spotify.com/track/5tllbwxYanPKmFs1g4EP9S","Jadugar Saiyan Chhod Mori Baiyan - From ""Nagin""",0,173360,"False",0.64,0.423,7,-11.507,1,0.0416,0.982,0.739,0.108,0.777,119.316,4,"lata, filmi, classic bollywood"
13,"2I0MIQhICYnKHvaxUHYH49","Amit Trivedi, Varun Grover, Shahid Mallya, Sireesha Bhagavatula, Swanand Kirkire","Qala (Music From The Netflix Film)","3yVX4sKtPoqFjBKOVyJenW",2022-11-23,"https://open.spotify.com/track/2I0MIQhICYnKHvaxUHYH49","Shauq",54,256284,"False",0.411,0.244,7,-11.364,1,0.0349,0.868,"2.54e-05",0.128,0.248,139.935,4,"filmi, modern bollywood"
14,"6EYhB6w3JQQIrBZNMVjDyb","Armaan Malik","Amaal Mallik & Armaan Malik - Mtv Unplugged Season 7","5fbPSz3s8P0vjmfcvgHwEs",2018-02-23,"https://open.spotify.com/track/6EYhB6w3JQQIrBZNMVjDyb","Sab Tera Unplugged",33,282871,"False",0.624,0.439,7,-11.537,1,0.0468,0.244,0,0.785,0.376,80.065,4,"filmi, modern bollywood"
15,"4uDJ3ufQ5jp8ujYUC8wzHA","Raamlaxman, Lata Mangeshkar","Maine Pyar Kiya","186yttbVTGACJaQgc8KNh7",1991-12-31,"https://open.spotify.com/track/4uDJ3ufQ5jp8ujYUC8wzHA","Dil Deewana - Female",0,354426,"False",0.389,0.372,8,-12.354,1,0.041,0.788,0.00374,0.0903,0.614,80.517,4,"lata, filmi, classic bollywood"
16,"6YEigVLKeRSOusYWwA8VNr","Hemant Kumar, S. D. Burman","Jaal","1vpSsZwSNCSeUWKd7Rh9yk",1952-01-01,"https://open.spotify.com/track/6YEigVLKeRSOusYWwA8VNr","Yeh Raat Yeh Chandni - Hemant Kumar",39,296240,"False",0.441,0.303,2,-11.063,1,0.0341,0.95,0,0.0888,0.616,81.02,4,"filmi, rabindra sangeet, classic bollywood"
17,"4nRCEUefTt4YvjQBzHgOmR","Lata Mangeshkar, Mohammed Rafi","The Golden Collection - Duets Of Lata Mangeshkar & Mohd. Rafi","6dOaCccs1JBKxytldaM7Jc",1995,"https://open.spotify.com/track/4nRCEUefTt4YvjQBzHgOmR","Jo Waada Kiya",0,196733,"False",0.469,0.487,6,-8.826,1,0.0437,0.732,0.00474,0.444,0.641,155.959,4,"lata, filmi, classic bollywood"
